atc1,atc1_label,atc2,atc2_label,atc3,atc3_label,atc4,atc4_label,atc5,atc5_label,boites,rem,bse
D,DERMATOLOGIE,D10,PREPARATIONS ANTIACNEIQUES,D10A,PREPARATIONS ANTIACNEIQUES A USAGE TOPIQUE,D10AD,RETINOIDES ANTIACNEIQUES A USAGE TOPIQUE,D10AD03,ADAPALENE,34205.0,43323.24,126672.34
D,DERMATOLOGIE,D10,PREPARATIONS ANTIACNEIQUES,D10A,PREPARATIONS ANTIACNEIQUES A USAGE TOPIQUE,D10AE,PEROXYDES,D10AE01,BENZOYLE PEROXYDE,43753.0,33925.81,94104.06
D,DERMATOLOGIE,D10,PREPARATIONS ANTIACNEIQUES,D10A,PREPARATIONS ANTIACNEIQUES A USAGE TOPIQUE,D10AF,ANTIINFECTIEUX POUR LE TRAITEMENT DE L'ACNE,D10AF02,ERYTHROMYCINE,36681.0,39139.47,116234.84
D,DERMATOLOGIE,D10,PREPARATIONS ANTIACNEIQUES,D10A,PREPARATIONS ANTIACNEIQUES A USAGE TOPIQUE,D10AX,AUTRES PREPARATIONS ANTIACNEIQUES A USAGE TOPIQUE,D10AX,AUTRES PREPARATIONS ANTIACNEIQUES A USAGE TOPIQUE,5506.0,18369.92,44357.76
D,DERMATOLOGIE,D10,PREPARATIONS ANTIACNEIQUES,D10B,PREPARATIONS ANTIACNEIQUES A USAGE SYSTEMIQUE,99999,Non restitué,9999999,Non restitué,3357.0,33821.42,52142.46
D,DERMATOLOGIE,D10,PREPARATIONS ANTIACNEIQUES,D10B,PREPARATIONS ANTIACNEIQUES A USAGE SYSTEMIQUE,D10BA,RETINOIDES POUR LE TRAITEMENT DE L'ACNE,D10BA01,ISOTRETINOINE,82966.0,671872.02,790296.12
D,DERMATOLOGIE,D10,PREPARATIONS ANTIACNEIQUES,D10B,PREPARATIONS ANTIACNEIQUES A USAGE SYSTEMIQUE,D10BX,AUTRES PREPARATIONS ANTIACNEIQUES A USAGE SYSTEMIQUE,D10BX,AUTRES PREPARATIONS ANTIACNEIQUES A USAGE SYSTEMIQUE,83153.0,222876.1,399769.1
D,DERMATOLOGIE,D11,AUTRES PREPARATIONS DERMATOLOGIQUES,D11A,AUTRES PREPARATIONS DERMATOLOGIQUES,D11AH,"MEDICAMENTS UTILISES DANS LA DERMATITE, EXCLUS CORTICOSTEROIDES",9999999,Non restitué,8983.0,75386.08,73949.98
D,DERMATOLOGIE,D11,AUTRES PREPARATIONS DERMATOLOGIQUES,D11A,AUTRES PREPARATIONS DERMATOLOGIQUES,D11AH,"MEDICAMENTS UTILISES DANS LA DERMATITE, EXCLUS CORTICOSTEROIDES",D11AH01,TACROLIMUS,58321.0,208557.23,326970.66
D,DERMATOLOGIE,D11,AUTRES PREPARATIONS DERMATOLOGIQUES,D11A,AUTRES PREPARATIONS DERMATOLOGIQUES,D11AH,"MEDICAMENTS UTILISES DANS LA DERMATITE, EXCLUS CORTICOSTEROIDES",D11AH04,ALITRETINOINE,3213.0,10306.77,11393.390000000001
D,DERMATOLOGIE,D11,AUTRES PREPARATIONS DERMATOLOGIQUES,D11A,AUTRES PREPARATIONS DERMATOLOGIQUES,D11AH,"MEDICAMENTS UTILISES DANS LA DERMATITE, EXCLUS CORTICOSTEROIDES",D11AH05,DUPILUMAB,216563.0,45858.880000000005,28104.27
D,DERMATOLOGIE,D11,AUTRES PREPARATIONS DERMATOLOGIQUES,D11A,AUTRES PREPARATIONS DERMATOLOGIQUES,D11AH,"MEDICAMENTS UTILISES DANS LA DERMATITE, EXCLUS CORTICOSTEROIDES",D11AH07,TRALOKINUMAB,11142.0,0.0,0.0
D,DERMATOLOGIE,D11,AUTRES PREPARATIONS DERMATOLOGIQUES,D11A,AUTRES PREPARATIONS DERMATOLOGIQUES,D11AH,"MEDICAMENTS UTILISES DANS LA DERMATITE, EXCLUS CORTICOSTEROIDES",D11AH08,ABROCITINIB,1012.0,0.0,0.0
D,DERMATOLOGIE,D11,AUTRES PREPARATIONS DERMATOLOGIQUES,D11A,AUTRES PREPARATIONS DERMATOLOGIQUES,D11AH,"MEDICAMENTS UTILISES DANS LA DERMATITE, EXCLUS CORTICOSTEROIDES",D11AH09,RUXOLITINIB,10183.0,17698.280000000002,24313.31
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,999,INCONNU,9999,Non restitué,99999,Non restitué,9999999,Non restitué,6888.0,72777.15,102105.22
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G01,ANTIINFECTIEUX ET ANTISEPTIQUES A USAGE GYNECOLOGIQUE,G01A,"ANTIINFECTIEUX ET ANTISEPTIQUES, ASSOCIATIONS AUX CORTICOIDES EXCLUES",99999,Non restitué,9999999,Non restitué,1836.0,1185.47,4798.14
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G01,ANTIINFECTIEUX ET ANTISEPTIQUES A USAGE GYNECOLOGIQUE,G01A,"ANTIINFECTIEUX ET ANTISEPTIQUES, ASSOCIATIONS AUX CORTICOIDES EXCLUES",G01AA,ANTIBIOTIQUES,G01AA51,NYSTATINE EN ASSOCIATION,75011.0,41526.75,159973.48
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G01,ANTIINFECTIEUX ET ANTISEPTIQUES A USAGE GYNECOLOGIQUE,G01A,"ANTIINFECTIEUX ET ANTISEPTIQUES, ASSOCIATIONS AUX CORTICOIDES EXCLUES",G01AF,DERIVES IMIDAZOLES,9999999,Non restitué,5277.0,5246.91,14053.73
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G01,ANTIINFECTIEUX ET ANTISEPTIQUES A USAGE GYNECOLOGIQUE,G01A,"ANTIINFECTIEUX ET ANTISEPTIQUES, ASSOCIATIONS AUX CORTICOIDES EXCLUES",G01AF,DERIVES IMIDAZOLES,G01AF01,METRONIDAZOLE,21361.0,19376.33,49252.36
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G01,ANTIINFECTIEUX ET ANTISEPTIQUES A USAGE GYNECOLOGIQUE,G01A,"ANTIINFECTIEUX ET ANTISEPTIQUES, ASSOCIATIONS AUX CORTICOIDES EXCLUES",G01AF,DERIVES IMIDAZOLES,G01AF05,ECONAZOLE,194902.0,212592.31,417970.09
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G01,ANTIINFECTIEUX ET ANTISEPTIQUES A USAGE GYNECOLOGIQUE,G01A,"ANTIINFECTIEUX ET ANTISEPTIQUES, ASSOCIATIONS AUX CORTICOIDES EXCLUES",G01AF,DERIVES IMIDAZOLES,G01AF08,TIOCONAZOLE,46.0,52.27,154.1
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G01,ANTIINFECTIEUX ET ANTISEPTIQUES A USAGE GYNECOLOGIQUE,G01A,"ANTIINFECTIEUX ET ANTISEPTIQUES, ASSOCIATIONS AUX CORTICOIDES EXCLUES",G01AF,DERIVES IMIDAZOLES,G01AF12,FENTICONAZOLE,57181.0,72521.45,144815.69
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G01,ANTIINFECTIEUX ET ANTISEPTIQUES A USAGE GYNECOLOGIQUE,G01A,"ANTIINFECTIEUX ET ANTISEPTIQUES, ASSOCIATIONS AUX CORTICOIDES EXCLUES",G01AF,DERIVES IMIDAZOLES,G01AF19,SERTACONAZOLE,192173.0,162140.96,251986.45
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G02,AUTRES MEDICAMENTS GYNECOLOGIQUES,9999,Non restitué,99999,Non restitué,9999999,Non restitué,2587.0,48613.28,55490.12
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G02,AUTRES MEDICAMENTS GYNECOLOGIQUES,G02B,CONTRACEPTIFS A USAGE TOPIQUE,G02BA,CONTRACEPTIFS INTRAUTERINS,G02BA03,DIU EN PLASTIQUE AVEC DES PROGESTATIFS,83227.0,374591.24,314429.21
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G02,AUTRES MEDICAMENTS GYNECOLOGIQUES,G02C,AUTRES MEDICAMENTS GYNECOLOGIQUES,G02CB,INHIBITEURS DE LA PROLACTINE,9999999,Non restitué,2255.0,36622.08,42570.86
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G02,AUTRES MEDICAMENTS GYNECOLOGIQUES,G02C,AUTRES MEDICAMENTS GYNECOLOGIQUES,G02CB,INHIBITEURS DE LA PROLACTINE,G02CB03,CABERGOLINE,58278.0,231372.33,223213.96
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G02,AUTRES MEDICAMENTS GYNECOLOGIQUES,G02C,AUTRES MEDICAMENTS GYNECOLOGIQUES,G02CB,INHIBITEURS DE LA PROLACTINE,G02CB04,QUINAGOLIDE,2403.0,10921.54,12228.47
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,9999,Non restitué,99999,Non restitué,9999999,Non restitué,32269.0,227903.83,277316.43
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03A,CONTRACEPTIFS HORMONAUX A USAGE SYSTEMIQUE,99999,Non restitué,9999999,Non restitué,5320.0,16558.35,21864.71
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03A,CONTRACEPTIFS HORMONAUX A USAGE SYSTEMIQUE,G03AA,PROGESTATIFS ET ESTROGENES EN ASSOCIATION FIXE,G03AA07,LEVONORGESTREL ET ESTROGENE,581893.0,1184549.81,1298852.67
